lam_obs_vac_nm,err_lam_obs_vac_nm,lam_ritz_vac_nm,err_lam_ritz_vac_nm,rel_intensity,einstein_aki,ion_name
  354.685623,  0.000010,  354.685628,  0.000005,7.940000e+02,3.900000e+08,Ar II     
  354.952792,  0.000010,  354.952777,  0.000005,1.950000e+02,8.700000e+07,Ar II     
  355.104390,  0.000060,  355.104307,  0.000005,1.000000e+01,2.600000e+06,Ar II     
  355.532100,  0.001000,  355.532100,  0.001000,7.000000e+00,2.700000e+05,Ar I      
  355.791980,  0.000020,  355.791981,  0.000006,4.900000e+01,5.000000e+06,Ar II     
  356.052455,  0.000010,  356.052445,  0.000004,1.445000e+03,2.880000e+08,Ar II     
  356.320870,  0.000020,  356.320845,  0.000005,3.500000e+01,1.500000e+07,Ar II     
  356.535120,  0.000050,  356.535082,  0.000003,1.900000e+01,0.000000e+00,Ar II     
  356.604767,  0.000010,  356.604746,  0.000006,1.620000e+02,5.500000e+07,Ar II     
  357.176600,  0.000600,  357.176321,  0.000005,1.000000e+00,0.000000e+00,Ar II     
  357.763636,  0.000010,  357.763644,  0.000005,1.230300e+04,2.750000e+08,Ar II     
  357.937710,  0.000090,  357.937714,  0.000005,8.000000e+00,0.000000e+00,Ar II     
  358.263005,  0.000010,  358.263032,  0.000005,6.800000e+01,1.760000e+08,Ar II     
  358.337694,  0.000010,  358.337688,  0.000005,1.550000e+02,2.530000e+08,Ar II     
  358.946441,  0.000010,  358.946432,  0.000008,1.230300e+04,3.030000e+08,Ar II     
  359.474200,  0.000800,  359.474216,  0.000004,2.000000e+00,0.000000e+00,Ar II     
  359.540000,  0.002000,  359.540123,  0.000005,5.000000e-01,0.000000e+00,Ar II     
  360.124880,  0.000070,  360.124889,  0.000005,1.000000e+01,0.000000e+00,Ar II     
  360.253640,  0.000040,  360.253632,  0.000005,1.500000e+01,2.000000e+05,Ar II     
  360.448400,  0.000300,  360.448371,  0.000008,3.000000e+00,6.500000e+06,Ar II     
  360.493300,  0.000400,  360.493228,  0.000003,3.000000e+00,0.000000e+00,Ar II     
  360.690740,  0.000030,  360.690749,  0.000005,2.400000e+01,4.400000e+06,Ar II     
  360.755100,  0.001000,  360.755000,  0.001000,7.000000e+00,7.600000e+05,Ar I      
  360.843000,  0.000600,  360.843266,  0.000005,2.000000e+00,0.000000e+00,Ar II     
  361.239500,  0.000600,  361.239650,  0.000009,1.000000e+00,0.000000e+00,Ar II     
  361.284310,  0.000040,  361.284320,  0.000005,1.400000e+01,6.000000e+05,Ar II     
  362.183900,  0.000600,  362.184175,  0.000004,3.000000e+00,0.000000e+00,Ar II     
  362.204500,  0.000600,  362.204663,  0.000005,3.000000e+00,0.000000e+00,Ar II     
  362.317040,  0.000040,  362.316999,  0.000004,3.000000e+01,6.400000e+07,Ar II     
  362.447700,  0.000600,  362.448282,  0.000008,2.000000e+00,0.000000e+00,Ar II     
  363.584800,  0.000080,  363.584827,  0.000005,9.000000e+00,9.000000e+05,Ar II     
  363.667200,  0.000600,  363.667384,  0.000005,3.000000e+00,0.000000e+00,Ar II     
  363.806690,  0.000040,  363.806759,  0.000005,1.900000e+01,0.000000e+00,Ar II     
  363.890997,  0.000010,  363.891000,  0.000030,7.800000e+01,0.000000e+00,Ar III    
  364.086980,  0.000020,  364.086982,  0.000005,4.200000e+01,1.400000e+08,Ar II     
  365.192930,  0.000120,  365.192946,  0.000004,8.000000e+00,1.200000e+07,Ar II     
  365.222400,  0.000600,  365.223425,  0.000017,5.000000e-01,0.000000e+00,Ar II     
  365.631890,  0.000020,  365.631912,  0.000004,3.700000e+01,2.300000e+07,Ar II     
  365.709110,  0.000020,  365.709096,  0.000004,2.700000e+01,7.600000e+06,Ar II     
  365.825800,  0.000300,  365.825881,  0.000007,3.000000e+00,0.000000e+00,Ar II     
  366.147890,  0.000030,  366.147916,  0.000005,2.800000e+01,2.200000e+08,Ar II     
  367.064710,  0.000030,  367.064703,  0.000005,2.600000e+01,1.300000e+07,Ar II     
  367.132000,  0.002000,  367.139000,  0.003000,7.000000e+00,0.000000e+00,Ar III    
  367.204990,  0.000030,  367.204967,  0.000008,1.900000e+01,7.100000e+07,Ar II     
  367.431000,  0.000030,  367.431003,  0.000005,2.200000e+01,0.000000e+00,Ar II     
  367.931630,  0.000070,  367.931678,  0.000004,1.700000e+01,2.500000e+07,Ar II     
  368.110850,  0.000040,  368.110827,  0.000007,2.000000e+01,1.200000e+08,Ar II     
  368.359230,  0.000080,  368.359291,  0.000007,9.000000e+00,1.700000e+06,Ar II     
  368.448000,  0.002000,  368.450620,  0.000150,6.000000e+00,0.000000e+00,Ar III    
  368.665000,  0.002000,  368.664070,  0.000100,5.000000e+00,0.000000e+00,Ar III    
  368.765000,  0.002000,  368.764460,  0.000100,6.000000e+00,0.000000e+00,Ar III    
  368.928000,  0.002000,  368.927630,  0.000070,7.000000e+00,0.000000e+00,Ar III    
  369.030000,  0.002000,  369.028170,  0.000070,4.000000e+00,0.000000e+00,Ar III    
